"","Job.Title","Job.Type","Salary.Estimate","Salary.Mean","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors"
"1","Sr Data Scientist","Data Scientist","137-171 ",154,3.1,"Healthfirst","New York, NY","New York, NY","1001 to 5000","1993","Nonprofit Organization","Insurance Carriers","Insurance","Unknown / Non-Applicable","EmblemHealth, UnitedHealth Group, Aetna"
"2","Data Scientist","Data Scientist","137-171 ",154,4.2,"ManTech","Chantilly, VA","Herndon, VA","5001 to 10000","1968","Company - Public","Research & Development","Business Services","1 to 2 billion","Unknown"
"3","Data Scientist","Data Scientist","137-171 ",154,3.8,"Analysis Group","Boston, MA","Boston, MA","1001 to 5000","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million","Unknown"
"4","Data Scientist","Data Scientist","137-171 ",154,3.5,"INFICON","Newton, MA","Bad Ragaz, Switzerland","501 to 1000","2000","Company - Public","Electrical & Electronic Manufacturing","Manufacturing","100 to 500 million","MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
"5","Data Scientist","Data Scientist","137-171 ",154,2.9,"Affinity Solutions","New York, NY","New York, NY","51 to 200","1998","Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee"
"6","Data Scientist","Data Scientist","137-171 ",154,4.2,"HG Insights","Santa Barbara, CA","Santa Barbara, CA","51 to 200","2010","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"7","Data Scientist / Machine Learning Expert","Data Scientist","137-171 ",154,3.9,"Novartis","Cambridge, MA","Basel, Switzerland","10000+","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"8","Data Scientist","Data Scientist","137-171 ",154,3.5,"iRobot","Bedford, MA","Bedford, MA","1001 to 5000","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion","Unknown"
"9","Staff Data Scientist - Analytics","Data Scientist","137-171 ",154,4.4,"Intuit - Data","San Diego, CA","Mountain View, CA","5001 to 10000","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion","Square, PayPal, H&R Block"
"10","Data Scientist","Data Scientist","137-171 ",154,3.6,"XSELL Technologies","Chicago, IL","Chicago, IL","51 to 200","2014","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"11","Data Scientist","Data Scientist","137-171 ",154,4.5,"Novetta","Herndon, VA","Mc Lean, VA","501 to 1000","2012","Company - Private","Enterprise Software & Network Solutions","Information Technology","100 to 500 million","Leidos, CACI International, Booz Allen Hamilton"
"12","Data Scientist","Data Scientist","137-171 ",154,4.7,"1904labs","Saint Louis, MO","Saint Louis, MO","51 to 200","2016","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Slalom, Daugherty Business Solutions"
"13","Data Scientist - Statistics, Early Career","Data Scientist","137-171 ",154,3.7,"PNNL","Richland, WA","Richland, WA","1001 to 5000","1965","Government","Energy","Oil, Gas, Energy & Utilities","500 million to 1 billion","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
"14","Data Modeler","Other","137-171 ",154,3.1,"Old World Industries","Northbrook, IL","Northbrook, IL","201 to 500","1973","Company - Private","Chemical Manufacturing","Manufacturing","1 to 2 billion","Unknown"
"15","Data Scientist","Data Scientist","137-171 ",154,3.4,"Mathematica Policy Research","Washington, DC","Princeton, NJ","1001 to 5000","1986","Company - Private","Consulting","Business Services","100 to 500 million","Unknown"
"16","Experienced Data Scientist","Data Scientist","137-171 ",154,4.4,"Guzman & Griffin Technologies (GGTI)","Washington, DC","Mays Landing, NJ","1 to 50","1997","Company - Private","Federal Agencies","Government","Unknown / Non-Applicable","Unknown"
"17","Data Scientist - Contract","Data Scientist","137-171 ",154,4.1,"Upside Business Travel","Remote","Washington, DC","51 to 200","2015","Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Unknown"
"18","Data Scientist","Data Scientist","137-171 ",154,3.5,"Buckman","Memphis, TN","Memphis, TN","1001 to 5000","1945","Company - Private","Chemical Manufacturing","Manufacturing","500 million to 1 billion","Unknown"
"19","Data Analyst II","Data Analyst","137-171 ",154,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ","5001 to 10000","1988","Company - Public","Enterprise Software & Network Solutions","Information Technology","5 to 10 billion","CDW, PCM, SHI International"
"20","Medical Lab Scientist","Other","137-171 ",154,3.5,"Tower Health","West Grove, PA","Reading, PA","5001 to 10000","2017","Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Unknown"
"21","Data Scientist","Data Scientist","137-171 ",154,3.2,"Triplebyte","New York, NY","San Francisco, CA","51 to 200","2015","Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Unknown"
"22","Data Scientist/Machine Learning","Data Scientist","137-171 ",154,4.3,"PulsePoint","New York, NY","New York, NY","51 to 200","2011","Company - Private","Internet","Information Technology","100 to 500 million","Crossix Solutions Inc., AppNexus, The Trade Desk"
"23","Human Factors Scientist","Other","137-171 ",154,3.5,"Exponent","Phoenix, AZ","Menlo Park, CA","1001 to 5000","1967","Company - Public","Consulting","Business Services","100 to 500 million","Unknown"
"24","Business Intelligence Analyst I- Data Insights","Business Intelligence Analyst","137-171 ",154,3.5,"Guardian Life","Appleton, WI","New York, NY","5001 to 10000","1860","Company - Private","Insurance Carriers","Insurance","5 to 10 billion","Northwestern Mutual"
"25","Data Scientist","Data Scientist","137-171 ",154,3.4,"Spectrum Communications and Consulting","Chicago, IL","Chicago, IL","51 to 200","1992","Company - Private","Advertising & Marketing","Business Services","10 to 25 million","Unknown"
"26","Data Scientist","Data Scientist","137-171 ",154,4.7,"Oversight Systems","Atlanta, GA","Atlanta, GA","51 to 200","2003","Company - Private","Computer Hardware & Software","Information Technology","25 to 50 million","Unknown"
"27","Data Scientist - Risk","Data Scientist","137-171 ",154,4.2,"LSQ","Orlando, FL","Orlando, FL","51 to 200","1996","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million","Unknown"
"28","Data Scientist-Human Resources","Data Scientist","137-171 ",154,3.8,"MIT Lincoln Laboratory","Lexington, MA","Lexington, MA","1001 to 5000","1951","Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","Unknown"
"29","Data Scientist","Data Scientist","137-171 ",154,4.5,"Kingfisher Systems","McLean, VA","Falls Church, VA","51 to 200","2005","Company - Private","Federal Agencies","Government","25 to 50 million","Unknown"
"30","Data Scientist","Data Scientist","137-171 ",154,2.8,"Formation","San Francisco, CA","San Francisco, CA","51 to 200","2015","Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Unknown"
"31","Data Scientist","Data Scientist","75-131 ",103,3.8,"Analysis Group","Boston, MA","Boston, MA","1001 to 5000","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million","Unknown"
"32","Data Scientist / Machine Learning Expert","Data Scientist","75-131 ",103,3.9,"Novartis","Cambridge, MA","Basel, Switzerland","10000+","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10+ billion","Unknown"
"33","Data Scientist","Data Scientist","75-131 ",103,5,"Cohere Health","Boston, MA","Boston, MA","1 to 50","2019","Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Unknown"
"34","Senior Research Statistician- Data Scientist","Data Scientist","75-131 ",103,4.8,"Acuity Insurance","Sheboygan, WI","Sheboygan, WI","1001 to 5000","1925","Company - Private","Insurance Carriers","Insurance","1 to 2 billion","Unknown"
"35","Data Engineer","Data Engineer","75-131 ",103,3.6,"Chef","United States","Seattle, WA","201 to 500","2008","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million","Puppet, Ansible, SaltStack"
"36","Associate Data Scientist","Data Scientist","75-131 ",103,3.3,"Puget Sound Energy","Bothell, WA","Bellevue, WA","1001 to 5000","1999","Company - Private","Utilities","Oil, Gas, Energy & Utilities","2 to 5 billion","Unknown"
"37","Business Intelligence Analyst","Business Intelligence Analyst","75-131 ",103,2.7,"Sandhills Global","Lincoln, NE","Lincoln, NE","1001 to 5000","1978","Company - Private","Enterprise Software & Network Solutions","Information Technology","50 to 100 million","Unknown"
"38","Data Scientist","Data Scientist","75-131 ",103,2.7,"A Place for Mom","Overland Park, KS","New York, NY","501 to 1000","2000","Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Enlivant, Sunrise Senior Living, Brookdale Senior Living"
"39","Data Scientist","Data Scientist","75-131 ",103,2.2,"Great-Circle Technologies","Chantilly, VA","Chantilly, VA","1 to 50","2000","Company - Private","Enterprise Software & Network Solutions","Information Technology","1 to 5 million","Unknown"
"40","Senior Analyst/Data Scientist","Data Scientist","75-131 ",103,3.4,"Edmunds.com","Santa Monica, CA","Santa Monica, CA","501 to 1000","1966","Company - Private","Internet","Information Technology","100 to 500 million","TrueCar, Cars.com, Kelley Blue Book"
"41","Data Analyst","Data Analyst","75-131 ",103,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA","501 to 1000","1973","Company - Private","Investment Banking & Asset Management","Finance","100 to 500 million","Unknown"
"42","Machine Learning Engineer","Machine Learning Engineer","75-131 ",103,3.4,"Liberty Mutual Insurance","Portsmouth, NH","Boston, MA","10000+","1912","Company - Private","Insurance Carriers","Insurance","10+ billion","Travelers, Allstate, State Farm"
"43","Data Analyst I","Data Analyst","75-131 ",103,2.6,"Cenlar","Ewing, NJ","Ewing, NJ","1001 to 5000","1958","Company - Private","Unknown","Unknown","100 to 500 million","Unknown"
